Department,Monthly Income,Business Travel,Over Time,Job Satisfaction,Work Life Balance,Years At Company,Attrition
Human Resources,5521.360958,Travel_Frequently,No,2,4,6,No
Research & Development,5053.37277,Travel_Rarely,No,1,2,9,No
Research & Development,5615.855904,Non-Travel,Yes,2,4,13,No
Human Resources,5055.902999,Travel_Rarely,No,4,3,9,No
Sales,4987.048371,Travel_Rarely,Yes,3,3,11,Yes
Research & Development,4369.593,Non-Travel,Yes,4,1,12,No
Research & Development,5354.83619,Travel_Rarely,Yes,3,1,13,Yes
Human Resources,4079.693829,Travel_Frequently,Yes,1,2,8,Yes
Sales,4248.026759,Travel_Rarely,Yes,4,1,7,Yes
Human Resources,4844.403726,Non-Travel,No,2,4,9,No
Human Resources,4907.8931,Non-Travel,No,4,1,11,No
Sales,5012.158396,Travel_Rarely,No,4,1,6,No
Human Resources,4269.560329,Travel_Frequently,No,4,1,9,Yes
Research & Development,5408.765016,Non-Travel,No,2,4,12,No
Sales,5306.492603,Non-Travel,Yes,1,4,12,No
Human Resources,4363.05325,Travel_Frequently,Yes,2,4,8,Yes
Research & Development,4755.695722,Non-Travel,Yes,2,1,9,Yes
Human Resources,4531.27337,Travel_Frequently,No,2,4,12,No
Research & Development,4631.253831,Travel_Rarely,No,2,4,13,No
Human Resources,5363.914157,Travel_Frequently,No,3,3,12,No
Human Resources,4025.692979,Travel_Frequently,No,1,2,10,Yes
Research & Development,4883.214533,Non-Travel,No,2,4,12,No
Research & Development,5364.67615,Non-Travel,Yes,3,4,9,No
Sales,4460.403446,Travel_Frequently,Yes,3,3,7,Yes
Sales,5172.321891,Travel_Frequently,Yes,3,2,12,No
Human Resources,4836.902163,Travel_Rarely,Yes,1,2,10,Yes
Research & Development,4039.479536,Travel_Frequently,No,2,1,12,Yes
Sales,5598.135327,Travel_Rarely,No,4,1,11,No
Sales,4878.36298,Travel_Frequently,Yes,1,4,12,Yes
Research & Development,4769.261089,Travel_Frequently,No,4,1,11,No
Human Resources,4694.445445,Non-Travel,Yes,3,1,12,Yes
Human Resources,4630.848312,Non-Travel,Yes,2,4,9,No
Research & Development,5401.283675,Travel_Frequently,Yes,1,1,7,Yes
Research & Development,4875.290001,Travel_Rarely,Yes,3,3,11,Yes
Sales,4849.261545,Travel_Rarely,Yes,4,2,10,Yes
Human Resources,4032.272846,Travel_Frequently,Yes,3,1,10,Yes
Sales,4222.91872,Travel_Rarely,No,1,4,7,Yes
Research & Development,5489.770875,Travel_Frequently,Yes,1,3,11,Yes
Research & Development,4594.410839,Non-Travel,No,2,4,10,No
Sales,5037.034911,Travel_Rarely,No,1,4,7,Yes
Human Resources,5202.073574,Travel_Rarely,No,2,1,10,No
Sales,4196.637379,Travel_Rarely,No,4,3,9,Yes
Sales,4094.982461,Non-Travel,Yes,2,1,8,Yes
Sales,4652.36247,Non-Travel,Yes,1,4,10,No
Research & Development,4979.404393,Non-Travel,No,2,1,11,No
Sales,5055.375701,Travel_Frequently,Yes,3,2,9,Yes
Sales,4657.535064,Non-Travel,Yes,4,2,10,No
Research & Development,3872.264579,Non-Travel,No,2,3,14,Yes
Human Resources,4413.191173,Travel_Rarely,No,3,4,13,No
Research & Development,4363.055554,Non-Travel,No,4,3,8,No
Sales,5902.411996,Travel_Frequently,No,2,1,13,No
Human Resources,4820.657794,Non-Travel,Yes,4,1,8,No
Human Resources,5246.364721,Travel_Rarely,No,4,2,10,No
Sales,4660.449719,Travel_Rarely,Yes,2,2,10,Yes
Human Resources,5046.176232,Travel_Frequently,Yes,1,2,11,Yes
Research & Development,5322.732778,Travel_Frequently,No,3,2,11,No
Human Resources,5385.727867,Non-Travel,Yes,3,4,9,No
Sales,4897.274494,Travel_Frequently,No,1,1,11,No
Human Resources,4973.842279,Non-Travel,No,4,4,11,No
Sales,5525.272599,Travel_Frequently,Yes,2,3,9,Yes
Research & Development,5052.213437,Travel_Rarely,Yes,2,2,10,Yes
Sales,4884.240733,Non-Travel,Yes,3,1,8,Yes
Sales,4812.727192,Travel_Frequently,No,1,1,12,Yes
Sales,5139.654187,Travel_Frequently,No,1,3,11,No
Research & Development,5305.766556,Travel_Frequently,No,4,3,11,No
Human Resources,4691.39292,Non-Travel,No,4,1,12,No
Sales,4253.799797,Travel_Frequently,No,4,4,8,No
Human Resources,4309.249224,Non-Travel,No,3,1,11,Yes
Sales,4972.825958,Travel_Frequently,No,4,3,14,No
Research & Development,4893.053916,Non-Travel,Yes,1,1,10,Yes
Research & Development,4825.041457,Non-Travel,Yes,4,3,9,No
Research & Development,4606.280407,Travel_Frequently,No,3,3,9,No
Sales,5444.091886,Travel_Frequently,Yes,1,4,8,Yes
Sales,5408.415955,Non-Travel,Yes,4,1,13,No
Research & Development,5958.804393,Non-Travel,No,2,3,11,No
Research & Development,6342.527046,Non-Travel,Yes,4,1,10,No
Research & Development,5077.698988,Travel_Frequently,No,1,4,8,Yes
Human Resources,4565.171858,Travel_Rarely,Yes,4,3,7,Yes
Research & Development,4919.279705,Non-Travel,Yes,2,4,9,No
Research & Development,4976.46475,Non-Travel,No,3,3,10,No
Sales,5377.988489,Travel_Frequently,No,4,2,8,No
Research & Development,5119.586971,Travel_Rarely,No,1,4,13,No
Human Resources,4564.669564,Non-Travel,No,3,2,10,No
Research & Development,4424.0248,Travel_Frequently,No,4,3,13,No
Sales,5111.551194,Travel_Frequently,Yes,3,4,6,Yes
Human Resources,4750.330445,Travel_Rarely,No,3,4,6,No
Research & Development,4501.293734,Travel_Frequently,Yes,4,4,9,Yes
Research & Development,5167.719117,Non-Travel,Yes,1,2,11,Yes
Human Resources,5423.309682,Travel_Rarely,Yes,1,1,9,Yes
Human Resources,4060.898045,Travel_Frequently,Yes,3,3,9,Yes
Sales,4341.731451,Travel_Frequently,Yes,2,2,8,Yes
Human Resources,5665.229568,Non-Travel,Yes,3,4,14,No
Sales,5327.520317,Travel_Frequently,No,3,4,8,No
Human Resources,4955.668459,Travel_Frequently,Yes,3,3,9,Yes
Research & Development,4405.01033,Travel_Frequently,Yes,4,2,9,Yes
Research & Development,4969.614103,Travel_Rarely,Yes,4,2,7,Yes
Research & Development,5303.992487,Travel_Rarely,No,4,4,13,No
Research & Development,5149.302553,Non-Travel,No,3,4,11,No
Sales,5183.018227,Non-Travel,Yes,4,3,11,No
Human Resources,4359.818495,Travel_Rarely,Yes,3,1,12,Yes
Research & Development,5469.947746,Travel_Rarely,Yes,1,1,10,Yes
Research & Development,4474.340135,Travel_Rarely,No,1,1,11,Yes
Human Resources,4261.387943,Travel_Frequently,No,1,1,12,Yes
Research & Development,3898.366705,Non-Travel,Yes,3,3,10,Yes
Sales,5134.185082,Travel_Frequently,Yes,1,3,9,Yes
Research & Development,4599.252129,Non-Travel,No,1,1,14,No
Human Resources,4079.798969,Travel_Rarely,Yes,3,4,8,Yes
Sales,5592.978965,Non-Travel,Yes,1,1,7,Yes
Sales,6000.12555,Travel_Rarely,Yes,4,2,10,No
Sales,4740.809734,Travel_Frequently,No,4,1,8,Yes
Sales,4535.563958,Travel_Frequently,Yes,1,2,13,Yes
Research & Development,5197.142125,Non-Travel,No,4,4,12,No
Sales,4099.722059,Travel_Rarely,No,2,4,11,Yes
Research & Development,6074.27254,Travel_Frequently,Yes,4,4,10,No
Research & Development,4692.415173,Travel_Rarely,Yes,1,3,12,Yes
Research & Development,4582.609619,Travel_Rarely,Yes,3,4,11,No
Sales,5268.72195,Travel_Frequently,Yes,2,3,9,Yes
Human Resources,4730.407608,Non-Travel,Yes,4,4,8,No
Human Resources,5559.639186,Travel_Frequently,Yes,3,1,11,Yes
Research & Development,5649.176606,Travel_Rarely,Yes,3,2,11,No
Sales,5324.861744,Travel_Rarely,No,4,2,13,No
Sales,5101.377347,Non-Travel,No,3,4,9,No
Sales,5641.29279,Non-Travel,No,3,4,10,No
Research & Development,4862.676708,Travel_Frequently,No,2,3,8,Yes
Research & Development,4413.851984,Non-Travel,No,4,3,6,No
Research & Development,5108.899386,Travel_Frequently,No,4,1,11,No
Research & Development,6071.588273,Travel_Frequently,Yes,3,1,12,No
Sales,5228.629809,Travel_Frequently,No,2,2,11,No
Sales,4965.540048,Travel_Rarely,No,2,4,9,No
Research & Development,4844.036,Travel_Frequently,Yes,1,1,11,Yes
Sales,4577.710067,Travel_Frequently,Yes,4,1,10,Yes
Sales,4996.904551,Non-Travel,Yes,2,2,9,Yes
Sales,5700.100532,Travel_Rarely,Yes,4,3,10,No
Research & Development,4634.281638,Travel_Rarely,No,4,2,11,No
Human Resources,4753.811542,Travel_Rarely,No,2,1,12,Yes
Research & Development,4724.517179,Travel_Rarely,Yes,3,1,11,Yes
Research & Development,5740.259116,Travel_Rarely,No,2,4,7,No
Human Resources,4536.350404,Travel_Frequently,No,1,2,12,No
Sales,5237.693921,Travel_Rarely,Yes,4,2,16,No
Sales,5116.764349,Travel_Rarely,No,1,2,9,No
Research & Development,4868.743274,Travel_Rarely,Yes,4,2,11,No
Sales,5351.87668,Travel_Rarely,Yes,2,1,14,Yes
Human Resources,4463.762238,Travel_Rarely,Yes,1,3,15,Yes
Sales,4551.90285,Non-Travel,No,3,1,13,No
Research & Development,3878.303065,Non-Travel,No,1,2,9,Yes
Research & Development,5672.912095,Travel_Rarely,Yes,3,1,8,Yes
Research & Development,4497.375629,Non-Travel,No,1,2,9,Yes
Human Resources,5142.344822,Travel_Rarely,Yes,3,2,13,Yes
Research & Development,4669.723397,Non-Travel,Yes,4,1,6,Yes
Sales,5324.712142,Non-Travel,No,1,3,12,No
Research & Development,4378.710084,Travel_Rarely,No,4,3,10,No
Research & Development,4577.980821,Travel_Rarely,Yes,3,4,10,No
Sales,4695.928195,Non-Travel,No,1,4,8,No
Human Resources,4834.7083,Travel_Frequently,No,2,2,8,Yes
Sales,5074.750302,Non-Travel,No,1,1,10,No
Human Resources,4654.716124,Non-Travel,No,1,4,6,Yes
Sales,5167.915011,Travel_Rarely,Yes,4,4,14,No
Human Resources,4359.238904,Non-Travel,Yes,3,3,10,Yes
Sales,5997.491852,Non-Travel,Yes,1,3,12,No
Human Resources,5236.450074,Non-Travel,No,3,1,10,No
Human Resources,4930.386667,Non-Travel,Yes,4,4,13,No
Sales,4220.599359,Travel_Rarely,Yes,2,4,5,Yes
Human Resources,4402.767338,Travel_Frequently,No,1,3,11,Yes
Sales,5152.045277,Travel_Rarely,No,4,3,9,No
Sales,5641.269879,Travel_Rarely,Yes,3,2,9,Yes
Research & Development,4884.832408,Non-Travel,Yes,1,2,9,Yes
Research & Development,5253.46832,Travel_Frequently,No,4,4,7,No
Human Resources,4975.140924,Travel_Frequently,No,4,1,10,Yes
Research & Development,5111.352803,Travel_Frequently,No,1,3,12,No
Human Resources,4894.722766,Non-Travel,No,3,4,9,No
Research & Development,5514.953623,Non-Travel,Yes,3,3,9,No
Research & Development,5924.312616,Travel_Rarely,No,3,3,10,No
Research & Development,4643.23996,Travel_Frequently,No,2,2,13,Yes
Research & Development,4919.851565,Non-Travel,No,3,4,8,No
Human Resources,4102.384255,Non-Travel,No,4,2,12,No
Sales,4923.371045,Travel_Frequently,Yes,3,2,11,Yes
Research & Development,4527.068096,Non-Travel,No,2,4,11,No
Sales,5157.563021,Travel_Rarely,No,3,2,11,No
Human Resources,4702.701991,Non-Travel,No,4,1,9,No
Sales,5740.559894,Non-Travel,Yes,3,2,8,No
Sales,5258.416543,Travel_Rarely,Yes,2,3,11,No
Sales,6524.891406,Non-Travel,No,2,1,9,No
Research & Development,4133.033341,Travel_Rarely,Yes,4,2,7,Yes
Research & Development,4822.625523,Non-Travel,Yes,4,4,5,Yes
Sales,4615.909962,Travel_Frequently,Yes,2,1,13,Yes
Research & Development,4810.759271,Non-Travel,No,1,2,10,No
Sales,4948.312169,Travel_Rarely,Yes,4,1,11,Yes
Human Resources,5049.39401,Travel_Frequently,Yes,3,3,12,No
Sales,4747.914453,Travel_Rarely,No,4,1,12,No
Sales,5062.566427,Travel_Frequently,Yes,2,3,10,Yes
Sales,4822.557193,Non-Travel,Yes,3,2,15,No
Human Resources,5118.977531,Travel_Frequently,Yes,2,1,11,Yes
Human Resources,6015.08906,Non-Travel,No,3,4,8,No
Sales,4223.00898,Travel_Rarely,No,1,4,15,No
Sales,5387.148091,Non-Travel,No,2,1,9,No
Human Resources,4606.62329,Travel_Rarely,No,1,1,15,Yes
Research & Development,5601.902152,Travel_Frequently,Yes,3,2,10,Yes
Human Resources,4940.14791,Travel_Rarely,Yes,4,1,12,Yes
Sales,4764.868751,Non-Travel,Yes,3,3,12,No
Human Resources,4410.514183,Travel_Rarely,Yes,4,4,11,Yes
Human Resources,4819.802133,Non-Travel,No,1,3,7,No
Sales,4266.733549,Non-Travel,No,3,2,11,Yes
Human Resources,4463.688735,Travel_Frequently,No,4,1,7,Yes
Research & Development,5227.196086,Travel_Rarely,No,3,4,11,No
Research & Development,5918.45456,Travel_Frequently,No,3,3,12,No
Human Resources,4850.84716,Travel_Rarely,Yes,2,2,11,Yes
Research & Development,4414.854531,Travel_Frequently,Yes,4,4,12,Yes
Research & Development,5223.827126,Travel_Rarely,Yes,2,2,12,Yes
Sales,4711.539077,Non-Travel,Yes,3,3,12,No
Sales,4813.068967,Travel_Frequently,Yes,3,1,11,Yes
Research & Development,4453.118453,Travel_Frequently,Yes,4,2,7,Yes
Human Resources,5245.386208,Travel_Rarely,No,1,1,10,No
Research & Development,4652.885306,Non-Travel,Yes,1,3,15,No
Research & Development,4888.70889,Non-Travel,No,4,2,11,No
Sales,4914.302759,Travel_Frequently,Yes,1,1,12,Yes
Research & Development,4330.377686,Travel_Rarely,No,3,1,10,No
Human Resources,4703.809861,Travel_Rarely,No,1,4,8,No
Research & Development,5220.661063,Non-Travel,No,3,4,11,No
Sales,5267.777383,Travel_Frequently,Yes,3,2,11,Yes
Research & Development,5182.968121,Travel_Rarely,Yes,4,2,11,Yes
Research & Development,4850.111646,Travel_Rarely,No,3,3,11,No
Sales,4731.067355,Travel_Frequently,Yes,2,3,9,Yes
Human Resources,4537.919191,Travel_Frequently,Yes,2,1,6,Yes
Human Resources,4764.221816,Non-Travel,No,2,4,8,No
Research & Development,4670.897318,Non-Travel,Yes,3,3,12,No
Sales,4845.444725,Travel_Frequently,Yes,4,4,11,Yes
Research & Development,5037.488901,Non-Travel,Yes,3,4,12,No
Human Resources,4894.583661,Non-Travel,No,2,4,13,No
Human Resources,5015.237277,Travel_Rarely,Yes,2,3,9,Yes
Sales,4323.104877,Travel_Rarely,No,2,4,11,No
Sales,4878.175686,Non-Travel,Yes,2,4,8,No
Sales,4916.244125,Non-Travel,No,1,4,8,No
Human Resources,5070.80347,Travel_Frequently,Yes,1,3,10,Yes
Human Resources,5307.44299,Travel_Frequently,Yes,4,3,14,No
Sales,4510.99016,Travel_Rarely,Yes,1,2,10,Yes
Sales,5615.339244,Travel_Rarely,Yes,2,2,12,Yes
Human Resources,5682.840743,Non-Travel,Yes,3,3,12,No
Human Resources,5015.604039,Travel_Frequently,No,2,2,7,No
Human Resources,4811.477752,Travel_Rarely,Yes,3,2,11,Yes
Research & Development,5013.210674,Travel_Frequently,No,3,2,9,No
Research & Development,5568.432749,Travel_Frequently,No,2,4,8,No
Human Resources,6013.669435,Non-Travel,Yes,4,2,11,No
Human Resources,4959.349175,Non-Travel,Yes,3,4,11,No
Human Resources,4417.194379,Non-Travel,Yes,1,1,10,Yes
Research & Development,5237.079731,Non-Travel,No,3,4,13,No
Sales,4736.469589,Travel_Rarely,No,4,1,11,No
Research & Development,5287.557189,Non-Travel,Yes,2,1,10,Yes
Sales,4632.186445,Non-Travel,No,2,2,10,No
Research & Development,4697.581185,Non-Travel,No,1,3,7,No
Research & Development,5408.42273,Travel_Rarely,No,4,2,9,No
Sales,4347.417769,Travel_Frequently,Yes,1,4,9,Yes
Human Resources,4109.116068,Non-Travel,Yes,3,3,10,Yes
Sales,5262.551908,Travel_Frequently,Yes,3,2,8,Yes
Sales,4422.155216,Non-Travel,Yes,1,1,11,Yes
Human Resources,4780.767432,Non-Travel,No,1,4,12,No
Human Resources,5275.333813,Travel_Rarely,No,4,4,9,No
Research & Development,5295.533542,Travel_Frequently,No,2,4,9,No
Sales,5330.104476,Non-Travel,No,3,1,13,No
Human Resources,4644.515993,Non-Travel,No,2,4,11,No
Sales,5180.306553,Travel_Frequently,No,4,1,10,No
Research & Development,4800.408611,Non-Travel,No,2,2,11,No
Sales,5353.960245,Non-Travel,Yes,3,3,7,Yes
Human Resources,4471.03984,Non-Travel,Yes,2,2,11,No
Sales,5466.958245,Travel_Rarely,Yes,2,4,11,No
Sales,4386.216489,Travel_Frequently,Yes,4,4,7,Yes
Research & Development,4710.638384,Travel_Rarely,Yes,1,3,11,Yes
Sales,4262.319013,Travel_Frequently,No,4,2,9,Yes
Research & Development,5091.787949,Non-Travel,No,1,3,11,No
Sales,4427.722105,Travel_Rarely,Yes,1,3,11,Yes
Human Resources,5479.136554,Travel_Rarely,Yes,1,3,13,No
Sales,5321.142541,Non-Travel,Yes,1,1,10,Yes
Sales,4991.247379,Travel_Frequently,No,4,3,10,No
Sales,5239.705714,Non-Travel,No,1,3,11,No
Research & Development,4174.670031,Travel_Rarely,No,3,1,10,No
Sales,5916.864419,Non-Travel,Yes,2,4,12,No
Sales,5002.481346,Travel_Rarely,No,4,1,9,No
Sales,5175.030258,Non-Travel,Yes,2,2,10,No
Research & Development,4690.544703,Travel_Frequently,No,2,2,10,Yes
Human Resources,4646.076601,Travel_Rarely,No,1,1,11,Yes
Sales,5819.387002,Travel_Frequently,Yes,3,4,12,No
Human Resources,5157.338533,Travel_Frequently,Yes,3,2,10,Yes
Human Resources,4671.132141,Travel_Frequently,No,3,3,9,Yes
Sales,4535.128707,Non-Travel,Yes,3,1,14,Yes
Sales,5055.661347,Non-Travel,Yes,4,4,9,No
Sales,5761.209576,Non-Travel,No,3,1,9,No
Sales,5031.794359,Travel_Rarely,Yes,2,1,7,Yes
Sales,4650.054546,Travel_Rarely,Yes,4,1,11,Yes
Research & Development,4390.266961,Travel_Frequently,Yes,1,4,13,Yes
Research & Development,4855.456563,Travel_Frequently,No,2,3,9,Yes
Human Resources,4938.733333,Non-Travel,Yes,4,1,12,No
Human Resources,5993.169092,Non-Travel,Yes,4,1,7,No
Research & Development,4994.048393,Travel_Rarely,No,4,2,10,No
Sales,5263.405636,Non-Travel,Yes,3,1,10,Yes
Human Resources,4996.802933,Non-Travel,Yes,3,1,8,No
Sales,4822.467153,Non-Travel,No,1,2,9,Yes
Research & Development,4274.830339,Travel_Rarely,No,4,1,10,No
Human Resources,4805.698445,Travel_Frequently,No,2,3,11,Yes
Sales,4429.089178,Non-Travel,Yes,1,4,7,Yes
Human Resources,5578.871178,Travel_Frequently,Yes,4,2,10,No
Sales,5157.041407,Travel_Frequently,No,1,4,10,No
Sales,4158.1887,Non-Travel,No,3,1,15,No
Sales,4463.409255,Non-Travel,No,2,1,7,No
Human Resources,4617.11866,Travel_Rarely,Yes,4,1,7,Yes
Sales,4900.221716,Travel_Frequently,Yes,1,3,10,Yes
Human Resources,5199.093247,Travel_Rarely,No,1,2,13,No
Human Resources,5104.631519,Travel_Frequently,No,2,3,10,No
Human Resources,4911.244287,Non-Travel,No,2,3,8,No
Human Resources,5139.822274,Non-Travel,Yes,4,2,9,No
Sales,5264.91586,Non-Travel,Yes,4,2,7,No
Human Resources,5876.56885,Non-Travel,Yes,4,3,7,No
Human Resources,4337.587752,Non-Travel,No,2,1,9,Yes
Sales,5095.034932,Travel_Rarely,Yes,1,4,9,Yes
Research & Development,4405.88162,Non-Travel,Yes,4,4,9,Yes
Research & Development,4898.326885,Travel_Frequently,No,3,3,12,No
Research & Development,4242.694713,Travel_Rarely,Yes,3,3,7,Yes
Sales,4474.179747,Travel_Rarely,No,4,1,12,No
Human Resources,4388.663026,Travel_Rarely,No,2,2,7,Yes
Sales,5682.364625,Travel_Rarely,Yes,1,3,10,No
Sales,5434.88601,Travel_Frequently,Yes,1,3,7,Yes
Research & Development,5418.200995,Travel_Frequently,Yes,2,4,13,No
Sales,5348.178575,Travel_Rarely,Yes,1,3,7,Yes
Sales,5240.419623,Travel_Frequently,No,4,4,10,No
Research & Development,5060.497033,Non-Travel,No,3,4,10,No
Human Resources,5361.43341,Non-Travel,Yes,3,3,8,No
Human Resources,4244.804124,Non-Travel,Yes,4,3,10,Yes
Research & Development,5724.069798,Travel_Frequently,No,4,3,10,No
Sales,4843.264557,Travel_Rarely,No,4,1,6,No
Sales,4115.958897,Non-Travel,No,2,2,8,Yes
Sales,4658.625443,Travel_Rarely,Yes,2,1,9,Yes
Sales,5326.117121,Travel_Frequently,Yes,2,4,8,Yes
Human Resources,5202.362909,Travel_Rarely,No,3,1,15,No
Human Resources,5062.262494,Travel_Frequently,Yes,2,3,9,Yes
Human Resources,5082.506103,Travel_Frequently,Yes,4,2,10,Yes
Sales,5534.201492,Travel_Frequently,No,2,3,12,No
Sales,4166.178975,Travel_Rarely,Yes,3,3,8,Yes
Sales,5306.457041,Non-Travel,No,1,3,12,No
Human Resources,5301.133878,Travel_Frequently,No,4,4,10,No
Research & Development,5396.709309,Non-Travel,Yes,3,2,11,No
Research & Development,4079.468548,Travel_Frequently,Yes,1,3,13,Yes
Sales,5523.169471,Travel_Frequently,No,3,1,9,No
Human Resources,4788.54077,Travel_Rarely,Yes,3,2,13,No
Research & Development,5646.919099,Travel_Rarely,Yes,2,2,10,Yes
Sales,5849.781203,Travel_Rarely,Yes,3,3,10,No
Research & Development,4851.528498,Travel_Rarely,No,3,1,10,No
Sales,4795.249403,Non-Travel,No,1,2,10,No
Research & Development,4904.433011,Non-Travel,Yes,4,2,11,No
Sales,4365.567088,Travel_Rarely,Yes,3,1,10,Yes
Sales,4149.33171,Travel_Frequently,No,4,3,15,No
Research & Development,4324.727277,Non-Travel,No,4,3,10,No
Research & Development,5600.755143,Travel_Frequently,No,2,2,10,No
Human Resources,5876.029604,Travel_Rarely,No,4,1,9,No
Research & Development,5211.454394,Travel_Rarely,No,1,1,9,Yes
Research & Development,5249.072318,Travel_Rarely,No,2,1,13,No
Sales,4266.68405,Travel_Frequently,No,2,1,10,Yes
Human Resources,4944.890848,Travel_Frequently,No,1,4,12,No
Sales,4091.539714,Travel_Rarely,No,3,2,8,Yes
Research & Development,4168.617164,Non-Travel,Yes,4,1,8,Yes
Sales,5378.263958,Travel_Frequently,Yes,1,3,10,Yes
Research & Development,5511.949806,Travel_Rarely,Yes,3,3,12,No
Human Resources,5774.620415,Non-Travel,No,2,1,8,No
Research & Development,5316.050419,Non-Travel,No,1,2,10,No
Research & Development,4821.576961,Non-Travel,No,3,4,12,No
Research & Development,5627.288763,Non-Travel,Yes,4,4,12,No
Sales,5124.175613,Travel_Frequently,Yes,2,3,10,Yes
Human Resources,4908.570983,Travel_Frequently,No,3,4,9,No
Research & Development,5087.658259,Non-Travel,No,1,3,11,No
Research & Development,4545.011432,Travel_Frequently,No,1,1,10,Yes
Research & Development,5036.065266,Travel_Rarely,No,1,3,12,No
Human Resources,4523.048967,Travel_Rarely,Yes,3,1,12,Yes
Sales,4700.155778,Non-Travel,Yes,3,3,12,No
Sales,5720.625885,Non-Travel,No,4,2,8,No
Sales,5222.590381,Travel_Frequently,Yes,2,1,12,Yes
Research & Development,4324.746311,Non-Travel,Yes,1,1,4,Yes
Research & Development,4746.847817,Travel_Frequently,No,2,3,12,No
Human Resources,4008.303998,Non-Travel,No,1,3,12,No
Research & Development,4951.307248,Non-Travel,Yes,2,3,6,No
Sales,5641.037833,Travel_Rarely,Yes,1,2,12,No
Human Resources,4398.230247,Travel_Frequently,No,3,3,9,No
Human Resources,5176.714728,Travel_Rarely,No,4,2,12,No
Sales,4575.344175,Non-Travel,No,1,2,11,Yes
Research & Development,4839.890022,Non-Travel,Yes,3,1,6,Yes
Research & Development,4577.163121,Travel_Rarely,No,4,1,9,No
Human Resources,4070.265865,Travel_Rarely,Yes,3,4,10,Yes
Sales,6419.1294,Travel_Frequently,Yes,2,2,10,Yes
Research & Development,5287.95228,Non-Travel,Yes,3,2,9,No
Research & Development,4537.882792,Non-Travel,Yes,4,1,12,No
Research & Development,5179.110982,Non-Travel,No,1,2,13,No
Sales,4527.73266,Non-Travel,No,4,2,9,No
Human Resources,4716.350435,Non-Travel,Yes,3,3,9,Yes
Research & Development,4622.580514,Non-Travel,No,2,2,11,No
Research & Development,4734.274114,Travel_Frequently,Yes,3,3,8,Yes
Human Resources,4577.265668,Travel_Rarely,Yes,3,4,10,No
Sales,5313.776577,Travel_Frequently,Yes,1,1,7,Yes
Sales,4624.970723,Travel_Frequently,Yes,2,2,8,Yes
Research & Development,5179.601207,Travel_Rarely,No,4,2,12,No
Sales,5120.055311,Travel_Frequently,No,1,3,9,Yes
Research & Development,4786.20766,Travel_Frequently,Yes,1,4,16,Yes
Human Resources,5766.681337,Non-Travel,Yes,4,2,11,No
Human Resources,4551.818776,Travel_Rarely,No,3,1,10,No
Human Resources,5850.149642,Non-Travel,No,3,4,10,No
Human Resources,4300.903302,Travel_Frequently,No,2,2,12,Yes
Human Resources,4677.683277,Non-Travel,No,1,4,9,No
Sales,4919.10603,Travel_Rarely,Yes,4,3,13,No
Research & Development,5267.074851,Non-Travel,Yes,2,1,13,No
Human Resources,4212.226805,Travel_Rarely,Yes,4,2,10,Yes
Sales,5397.343837,Travel_Rarely,Yes,3,4,9,No
Human Resources,5959.12621,Non-Travel,No,1,3,11,No
Sales,5382.711343,Non-Travel,Yes,4,3,10,No
Research & Development,5080.918,Travel_Rarely,No,2,4,9,No
Research & Development,5059.285512,Travel_Frequently,Yes,3,4,13,No
Sales,5511.531389,Non-Travel,No,1,4,10,No
Research & Development,5741.064753,Non-Travel,No,2,1,10,No
Human Resources,5081.9935,Travel_Frequently,No,1,1,13,No
Human Resources,4425.772528,Non-Travel,No,1,1,9,Yes
Research & Development,5221.548888,Non-Travel,No,1,1,12,No
Research & Development,5213.730661,Travel_Frequently,No,3,2,9,No
Human Resources,5112.339258,Non-Travel,No,3,1,13,No
Human Resources,5539.165268,Non-Travel,Yes,2,1,11,No
Sales,5159.795072,Travel_Frequently,No,3,2,9,No
Sales,4620.862125,Travel_Frequently,Yes,3,2,9,Yes
Human Resources,3937.446884,Non-Travel,Yes,4,2,6,Yes
Sales,4663.914872,Travel_Frequently,Yes,1,1,9,Yes
Human Resources,5225.548759,Travel_Rarely,Yes,2,2,9,No
Sales,5882.0664,Travel_Rarely,No,1,2,9,No
Human Resources,4480.157861,Non-Travel,Yes,4,4,10,No
Sales,5237.514836,Travel_Rarely,Yes,1,4,11,No
Human Resources,4741.401925,Travel_Rarely,No,2,4,6,Yes
Research & Development,5149.009522,Travel_Rarely,No,2,2,12,No
Sales,5458.632518,Travel_Frequently,Yes,1,4,11,Yes
Research & Development,4470.389877,Non-Travel,No,4,1,8,Yes
Research & Development,5040.414528,Travel_Frequently,No,4,4,6,No
Human Resources,3949.238281,Travel_Rarely,No,4,4,13,No
Sales,4731.690537,Non-Travel,No,3,3,10,No
Sales,4366.111423,Travel_Frequently,No,1,3,7,Yes
Human Resources,4520.572692,Travel_Rarely,Yes,4,2,7,Yes
Sales,4802.431315,Travel_Frequently,Yes,2,3,8,Yes
Research & Development,3755.558521,Travel_Frequently,No,3,2,14,No
Research & Development,4643.216728,Non-Travel,Yes,1,3,8,Yes
Research & Development,4118.496691,Travel_Frequently,Yes,3,3,9,Yes
Sales,3917.907427,Non-Travel,No,3,2,13,No
Human Resources,5689.881126,Non-Travel,Yes,1,2,13,No
Sales,5037.761002,Travel_Frequently,Yes,3,4,11,Yes
Sales,5007.245594,Travel_Rarely,Yes,1,2,10,Yes
Human Resources,4945.643848,Travel_Frequently,Yes,2,3,9,Yes
